date,BTC,moving_average,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,predict
2026-09-14,,,75255.47088839710,78894.70415220760,76418.80419361340,74501.02686025570,71967.72429875090,72540.50606548960,72305.5832190711,76331.56307279700,74776.9228438228
2026-09-15,,,75216.55641298890,78837.20600254090,77323.83142113550,75107.49981071800,72153.13259795640,73242.82457607130,72951.16894706670,76562.62008259880,75174.35498138460
2026-09-16,,,74243.70461433330,78703.79112327990,77130.41485295020,74869.50202217990,72033.48373376810,72835.75109060500,72706.34988985780,76069.50524517490,74824.06282151860
2026-09-17,,,74606.16444874430,78983.3771364226,77163.69218877100,75545.85813724220,71857.69516874260,71911.10655243940,73097.41989143090,76371.66419298820,74942.1222145977
2026-09-18,,,74225.68862986720,79268.76156960340,77352.40339065540,75839.9864698703,71856.59058406470,71314.19582235990,73252.47072394790,76789.48616925720,74987.4479199533
2026-09-19,,,74288.27908886490,80002.54200755190,77521.90112261140,76021.90022461730,72455.54557520150,71640.46063634160,73335.09983310330,76837.4167391376,75262.8931534287
2026-09-20,,,74516.88243431170,80286.53136336880,77705.05689793980,76833.02350786730,72739.85786885900,71793.46365761550,73415.95949937380,76998.86386455710,75536.20488673660
2026-09-21,,,74543.24617455930,81395.28054106640,78035.23404252140,77375.56749620350,73052.41533962730,71856.31050865350,73610.08051770190,77397.18601817230,75908.16507981320
2026-09-22,,,74987.1751524438,82502.72166380040,78684.86307166580,78292.42079846420,74609.39524526800,73724.38349289500,74181.90052266990,77458.9566871239,76805.2270792914
2026-09-23,,,74671.36311598270,81903.44322422050,78360.63400944470,78471.60237935750,74814.5395520741,74325.22788966940,74345.70842918160,77337.36996994580,76778.7360712345
2026-09-24,,,74760.46986228380,81523.45286242880,78494.31877072580,78446.32076278970,74976.38468273600,74288.11217535240,74340.28976500900,76993.10761784080,76727.80706239580
2026-09-25,,,75071.14338998070,81498.53659764440,78801.90439969150,78020.48685503270,75354.8858462674,74261.34303728510,74797.27697390660,77506.50260837020,76914.0099635223
2026-09-26,,,75501.9992416585,81052.06759226720,79512.91574729480,77645.19517399700,75242.78933658160,74061.4701450084,74997.92809219990,77810.15291270910,76978.0647802146
2026-09-27,,,76677.1793873544,82130.87290083750,80292.21386525960,77685.41430385320,75381.99440950040,74037.18410474080,76077.7046215618,77876.2483717326,77519.851495605
2026-09-28,,,77028.41781552050,81613.09306503320,80860.33583599060,77369.43447884210,75339.53163688390,74683.21035976140,76175.31940115750,78153.14683370440,77652.81117836170
2026-09-29,,,77721.64018770550,81439.28234196090,82431.76411019700,77007.41994022700,75954.42358127850,75027.78326692250,77418.58826004110,78958.67590508220,78244.94719917680
2026-09-30,,,77858.03143106790,81709.08682280670,82501.60827446480,76710.10597715020,74161.4862899319,75274.07433077830,77369.98733924490,78987.5089100362,78071.4861719351
2026-10-01,,,77859.48228735840,82518.77795020770,82744.57962755600,76685.58840785470,74133.76903276740,75813.42529473910,77922.66401158560,79045.02516006070,78340.41397151620
2026-10-02,,,77924.64875015940,82833.47766612070,82814.00454902750,76715.55596909850,74155.03981065600,75819.3748316881,78796.8617223536,78939.93601415000,78499.8624141567
2026-10-03,,,77587.58167303800,82328.25143634130,82409.22994326610,75647.06521536780,74584.2862207384,75748.17516117490,78873.58255907030,78517.30719925450,78211.9349260314
2026-10-04,,,78243.34664590930,82247.61482379810,82347.97771823970,75936.56151704140,74666.57003784090,75456.59297711160,79335.41295675200,79125.41471792940,78419.93642432780
2026-10-05,,,78200.26840956460,81863.09393664330,81712.16952856610,75735.46586209580,74368.50274954030,75692.42777481720,78458.57378506600,78673.82855474570,78088.04132512990
2026-10-06,,,77537.6037206156,81877.68866139150,81396.73303937820,75187.77175664740,73066.57923053980,75482.46050979190,77291.07428151140,78430.0928699636,77533.7505087299
2026-10-07,,,76961.15990823840,80692.33281007940,81135.83686060310,73790.41092582600,71985.09287354610,75412.35366803230,76378.46154780210,77839.3707349825,76774.3774161387
2026-10-08,,,77155.50245473290,80579.18507491320,81505.37727331080,73720.23832644770,71768.43585456090,74969.65340871230,76017.37226802750,78709.65973037580,76803.17804888510
2026-10-09,,,77745.1198809448,80533.55663729190,81791.21778317490,73919.49658518570,71699.53191255920,73983.96074943210,75409.01796824920,79780.62036036480,76857.8152346503
2026-10-10,,,77697.20308990040,80499.01059103500,82578.01659317660,73886.7505560489,70877.97789669790,73813.83679002410,74860.29051075110,80474.31566599050,76835.9252117031
2026-10-11,,,79367.11629462540,81386.96038599240,83295.37688185760,74158.04006634410,70964.64200080940,73693.56033458960,76466.21036210330,81574.38241808640,77613.28609305100
2026-10-12,,,80232.65042968580,81753.72261037490,83803.98515732410,75121.3147244759,70992.61454873100,74262.62915454120,77368.09599808130,82551.05670731980,78260.7586663168
2026-10-13,,,81421.97023673050,81884.22185596820,84209.2265790462,75846.14134031300,71430.7568966344,74445.75482668860,77468.53972690800,83330.63930388730,78754.656345772
2026-10-14,,,82324.31346707390,83142.17311235890,84571.27219093820,76516.21515584730,71890.34951163470,74621.4208633448,77247.66777104950,84738.73768124860,79381.518719187
2026-10-15,,,83610.23102838330,83507.19395811210,85270.52303294280,77448.55339921000,72305.42753147350,75034.05739001320,76818.49998606050,85434.4871983858,79928.6216905727
2026-10-16,,,83660.51018519040,83909.72378514560,85355.28474227500,77659.86870683530,72988.44781397610,75163.81831120810,76885.9395188403,86622.58367090860,80280.7720917974
2026-10-17,,,84013.38063255400,84065.85018023270,85546.76614502400,77831.56453834900,72872.67991290660,75192.42727613550,76718.21825080020,87060.55962257670,80412.68081982230
2026-10-18,,,84762.90102509730,84964.39769010840,85904.50042828440,78371.91886531200,73826.60267089050,74808.03225760420,76412.05932143620,87193.63620800950,80780.50605834280
2026-10-19,,,84853.48723512810,85868.95727644470,86539.40436428140,78272.45299382860,74215.67815509510,74837.55820254640,76470.32361784300,87836.74466102550,81111.82581327410
2026-10-20,,,84494.76438110090,85995.27803208890,86263.77176413450,78255.23578311320,74827.73991077460,74893.64501033430,76473.07145384860,87468.75097268150,81084.03216350960
2026-10-21,,,84313.71389701770,85700.23533693700,86719.03653411720,78301.80774165510,74237.0635274129,74765.50215885480,76623.7349678365,87576.71633752280,81029.7263126693
2026-10-22,,,84477.16504973930,86204.92601009620,86915.22954082460,78724.41651751500,73378.7547161198,74093.61103480140,76048.83132363130,88170.12510764220,81001.6324125462
2026-10-23,,,84760.59114526300,85785.44310286110,86518.77194037840,78937.71114305500,73599.96961537740,74977.14261951580,76288.39401356810,88341.34323829030,81151.17085228860
2026-10-24,,,84979.23505406610,86024.82084572830,86591.1329648448,80000.33455543460,73848.31206116380,75830.24208160220,77006.96397134090,88748.62819286620,81628.7087158809
2026-10-25,,,85836.87275998770,86097.92970155920,88058.56461395150,80790.32239825600,74648.5254651534,77395.95997754030,77559.37357265730,88359.26418831150,82343.3515846771
2026-10-26,,,85574.39031802380,86326.20980672300,88352.58986896440,80926.82958795320,75030.66420523180,76792.40694554840,77136.6630278825,87889.88706867250,82253.705103625
2026-10-27,,,85596.3494989076,87165.53391757330,88306.48862279300,80217.52726262130,74917.83694126170,76358.44447507060,76898.23088895510,88093.74077284660,82194.2690475037
2026-10-28,,,86132.83503197960,87362.99565537290,88727.54974959290,80543.63280174840,74576.43405526170,76420.16158220010,76929.16323867910,88014.87996318750,82338.45650975280
2026-10-29,,,86044.7597673244,87754.0495586579,88814.48024195120,80707.95257157800,74492.69410963360,76533.15102149730,76399.56587855610,87930.16738354970,82334.6025665935
2026-10-30,,,86115.91729706380,87893.80480041260,89188.22351922640,80368.06461104510,74611.94166492350,76379.48525436370,75537.9700177141,87556.95296132790,82206.5450157596
2026-10-31,,,86206.80843756420,87946.252620022,89129.01290163700,80367.76428227230,75359.48424423270,76354.27889422590,75552.70030333770,87733.03323036310,82331.1668642069
